datetime,machineID,comp,fail_flag,next_replace_time,time_between_maintenance,model,age
2015-09-14T06:00:00.000000,4,comp3,0,2015-09-29T06:00:00.000000,15,model3,7
2015-09-29T06:00:00.000000,4,comp3,0,2015-10-29T06:00:00.000000,30,model3,7
2015-10-14T06:00:00.000000,4,comp2,0,2015-10-29T06:00:00.000000,15,model3,7
2015-10-29T06:00:00.000000,4,comp2,0,2015-11-13T06:00:00.000000,15,model3,7
2015-10-29T06:00:00.000000,4,comp3,0,2015-12-28T06:00:00.000000,60,model3,7
2015-11-13T06:00:00.000000,4,comp4,0,2015-11-28T06:00:00.000000,15,model3,7
2015-11-28T06:00:00.000000,4,comp1,0,2015-12-13T06:00:00.000000,15,model3,7
2015-11-28T06:00:00.000000,4,comp4,0,2015-12-13T06:00:00.000000,15,model3,7
2014-08-15T06:00:00.000000,5,comp3,0,2015-02-08T06:00:00.000000,177,model3,2
2014-08-30T06:00:00.000000,5,comp2,1,2015-01-09T06:00:00.000000,132,model3,2
2014-09-29T06:00:00.000000,5,comp4,0,2015-02-23T06:00:00.000000,147,model3,2
2014-10-14T06:00:00.000000,5,comp1,1,2015-02-23T06:00:00.000000,132,model3,2
2015-01-09T06:00:00.000000,5,comp2,0,2015-01-24T06:00:00.000000,15,model3,2
2015-01-24T06:00:00.000000,5,comp2,0,2015-04-24T06:00:00.000000,90,model3,2
2015-02-08T06:00:00.000000,5,comp3,0,2015-04-24T06:00:00.000000,75,model3,2
2015-02-23T06:00:00.000000,5,comp4,0,2015-03-10T06:00:00.000000,15,model3,2
2015-02-23T06:00:00.000000,5,comp1,1,2015-04-09T06:00:00.000000,45,model3,2
2015-03-10T06:00:00.000000,5,comp4,0,2015-03-25T06:00:00.000000,15,model3,2
2015-03-25T06:00:00.000000,5,comp4,0,2015-05-09T06:00:00.000000,45,model3,2
2015-04-09T06:00:00.000000,5,comp1,1,2015-09-06T06:00:00.000000,150,model3,2
2015-04-24T06:00:00.000000,5,comp3,0,2015-06-08T06:00:00.000000,45,model3,2
2015-04-24T06:00:00.000000,5,comp2,0,2015-05-24T06:00:00.000000,30,model3,2
2015-05-09T06:00:00.000000,5,comp4,0,2015-09-21T06:00:00.000000,135,model3,2
2015-05-24T06:00:00.000000,5,comp2,1,2015-06-23T06:00:00.000000,30,model3,2
2015-06-08T06:00:00.000000,5,comp3,0,2015-08-07T06:00:00.000000,60,model3,2
2015-06-23T06:00:00.000000,5,comp2,0,2015-07-08T06:00:00.000000,15,model3,2
2015-07-08T06:00:00.000000,5,comp2,0,2015-07-23T06:00:00.000000,15,model3,2
2015-07-23T06:00:00.000000,5,comp2,0,2015-08-07T06:00:00.000000,15,model3,2
2015-08-07T06:00:00.000000,5,comp3,0,2015-08-22T06:00:00.000000,15,model3,2
2015-08-07T06:00:00.000000,5,comp2,0,2015-09-06T06:00:00.000000,30,model3,2
2015-08-22T06:00:00.000000,5,comp3,0,2015-10-21T06:00:00.000000,60,model3,2
2015-09-06T06:00:00.000000,5,comp2,1,2015-10-06T06:00:00.000000,30,model3,2
2015-09-06T06:00:00.000000,5,comp1,0,2015-09-21T06:00:00.000000,15,model3,2
2015-09-21T06:00:00.000000,5,comp4,0,2015-11-05T06:00:00.000000,45,model3,2
2015-09-21T06:00:00.000000,5,comp1,0,2015-10-06T06:00:00.000000,15,model3,2
2015-10-06T06:00:00.000000,5,comp1,1,2015-11-20T06:00:00.000000,45,model3,2
2015-10-21T06:00:00.000000,5,comp3,0,2015-11-05T06:00:00.000000,15,model3,2
2015-11-05T06:00:00.000000,5,comp3,0,2015-12-20T06:00:00.000000,45,model3,2
2015-11-20T06:00:00.000000,5,comp1,0,2015-12-05T06:00:00.000000,15,model3,2
2014-06-01T06:00:00.000000,6,comp2,0,2015-05-07T06:00:00.000000,340,model3,7
2014-09-14T06:00:00.000000,6,comp3,0,2015-02-06T06:00:00.000000,145,model3,7
2014-09-14T06:00:00.000000,6,comp4,0,2015-01-22T06:00:00.000000,130,model3,7
2014-12-28T06:00:00.000000,6,comp1,0,2015-04-07T06:00:00.000000,100,model3,7
2015-01-22T06:00:00.000000,6,comp4,0,2015-02-06T06:00:00.000000,15,model3,7
2015-02-06T06:00:00.000000,6,comp4,0,2015-02-21T06:00:00.000000,15,model3,7
2015-02-06T06:00:00.000000,6,comp3,0,2015-02-21T06:00:00.000000,15,model3,7
2015-02-21T06:00:00.000000,6,comp4,0,2015-03-08T06:00:00.000000,15,model3,7
2015-02-21T06:00:00.000000,6,comp3,0,2015-03-08T06:00:00.000000,15,model3,7
2015-03-08T06:00:00.000000,6,comp3,0,2015-04-22T06:00:00.000000,45,model3,7
2015-03-08T06:00:00.000000,6,comp4,0,2015-03-23T06:00:00.000000,15,model3,7
2015-03-23T06:00:00.000000,6,comp4,0,2015-04-22T06:00:00.000000,30,model3,7
2015-04-07T06:00:00.000000,6,comp1,0,2015-06-21T06:00:00.000000,75,model3,7
2015-04-22T06:00:00.000000,6,comp3,0,2015-07-21T06:00:00.000000,90,model3,7
2015-04-22T06:00:00.000000,6,comp4,0,2015-05-07T06:00:00.000000,15,model3,7
2015-05-07T06:00:00.000000,6,comp2,0,2015-05-22T06:00:00.000000,15,model3,7
2015-05-07T06:00:00.000000,6,comp4,0,2015-08-05T06:00:00.000000,90,model3,7
2015-05-22T06:00:00.000000,6,comp2,0,2015-07-06T06:00:00.000000,45,model3,7
2015-06-21T06:00:00.000000,6,comp1,0,2015-07-06T06:00:00.000000,15,model3,7
2015-07-06T06:00:00.000000,6,comp1,0,2015-08-20T06:00:00.000000,45,model3,7
2015-07-06T06:00:00.000000,6,comp2,0,2015-07-21T06:00:00.000000,15,model3,7
2015-07-21T06:00:00.000000,6,comp2,0,2015-11-03T06:00:00.000000,105,model3,7
2015-07-21T06:00:00.000000,6,comp3,0,2015-08-20T06:00:00.000000,30,model3,7
2015-08-05T06:00:00.000000,6,comp4,0,2015-11-03T06:00:00.000000,90,model3,7
2015-08-20T06:00:00.000000,6,comp3,0,2015-09-19T06:00:00.000000,30,model3,7
2015-09-19T06:00:00.000000,6,comp3,0,2015-12-03T06:00:00.000000,75,model3,7
2015-11-03T06:00:00.000000,6,comp4,0,2015-11-18T06:00:00.000000,15,model3,7
2015-11-03T06:00:00.000000,6,comp2,0,2015-11-18T06:00:00.000000,15,model3,7
2015-11-18T06:00:00.000000,6,comp2,0,2015-12-03T06:00:00.000000,15,model3,7
2015-12-03T06:00:00.000000,6,comp2,0,2015-12-18T06:00:00.000000,15,model3,7
2014-07-01T06:00:00.000000,7,comp1,1,2015-02-08T06:00:00.000000,222,model3,20
2014-07-01T06:00:00.000000,7,comp3,0,2015-03-25T06:00:00.000000,267,model3,20
2014-08-15T06:00:00.000000,7,comp2,1,2015-01-24T06:00:00.000000,162,model3,20
2014-11-28T06:00:00.000000,7,comp4,1,2015-01-24T06:00:00.000000,57,model3,20
2015-01-24T06:00:00.000000,7,comp2,0,2015-02-08T06:00:00.000000,15,model3,20
2015-01-24T06:00:00.000000,7,comp4,1,2015-05-09T06:00:00.000000,105,model3,20
2015-02-08T06:00:00.000000,7,comp1,0,2015-02-23T06:00:00.000000,15,model3,20
2015-02-08T06:00:00.000000,7,comp2,0,2015-02-23T06:00:00.000000,15,model3,20
2015-02-23T06:00:00.000000,7,comp1,1,2015-04-24T06:00:00.000000,60,model3,20
2015-02-23T06:00:00.000000,7,comp2,0,2015-03-10T06:00:00.000000,15,model3,20
2015-03-10T06:00:00.000000,7,comp2,0,2015-03-25T06:00:00.000000,15,model3,20
2015-03-25T06:00:00.000000,7,comp3,0,2015-05-24T06:00:00.000000,60,model3,20
2015-03-25T06:00:00.000000,7,comp2,0,2015-04-09T06:00:00.000000,15,model3,20
2015-04-09T06:00:00.000000,7,comp2,1,2015-05-24T06:00:00.000000,45,model3,20
2015-04-24T06:00:00.000000,7,comp1,0,2015-05-09T06:00:00.000000,15,model3,20
2015-05-09T06:00:00.000000,7,comp1,0,2015-09-06T06:00:00.000000,120,model3,20
2015-05-09T06:00:00.000000,7,comp4,1,2015-09-21T06:00:00.000000,135,model3,20
2015-05-24T06:00:00.000000,7,comp2,0,2015-06-08T06:00:00.000000,15,model3,20
2015-05-24T06:00:00.000000,7,comp3,0,2015-06-08T06:00:00.000000,15,model3,20
2015-06-08T06:00:00.000000,7,comp3,0,2015-06-23T06:00:00.000000,15,model3,20
2015-06-08T06:00:00.000000,7,comp2,1,2015-07-08T06:00:00.000000,30,model3,20
2015-06-23T06:00:00.000000,7,comp3,0,2015-07-23T06:00:00.000000,30,model3,20
2015-07-08T06:00:00.000000,7,comp2,0,2015-07-23T06:00:00.000000,15,model3,20
2015-07-23T06:00:00.000000,7,comp2,0,2015-08-22T06:00:00.000000,30,model3,20
2015-07-23T06:00:00.000000,7,comp3,0,2015-10-06T06:00:00.000000,75,model3,20
2015-08-22T06:00:00.000000,7,comp2,1,2015-10-21T06:00:00.000000,60,model3,20
2015-09-06T06:00:00.000000,7,comp1,0,2015-09-21T06:00:00.000000,15,model3,20
2015-09-21T06:00:00.000000,7,comp1,1,2015-12-20T06:00:00.000000,90,model3,20
2015-09-21T06:00:00.000000,7,comp4,0,2015-10-21T06:00:00.000000,30,model3,20
2015-10-06T06:00:00.000000,7,comp3,0,2015-11-20T06:00:00.000000,45,model3,20
2015-10-21T06:00:00.000000,7,comp2,0,2015-11-05T06:00:00.000000,15,model3,20
2015-10-21T06:00:00.000000,7,comp4,0,2015-11-05T06:00:00.000000,15,model3,20
2015-11-05T06:00:00.000000,7,comp4,0,2015-12-05T06:00:00.000000,30,model3,20
2014-08-30T06:00:00.000000,8,comp3,0,2015-04-06T06:00:00.000000,219,model3,16
2014-10-14T06:00:00.000000,8,comp2,1,2015-03-07T06:00:00.000000,144,model3,16
2014-11-28T06:00:00.000000,8,comp1,0,2015-01-21T06:00:00.000000,54,model3,16
2014-12-13T06:00:00.000000,8,comp4,0,2015-01-06T06:00:00.000000,24,model3,16
2015-01-06T06:00:00.000000,8,comp4,1,2015-03-22T06:00:00.000000,75,model3,16
2015-01-21T06:00:00.000000,8,comp1,0,2015-06-05T06:00:00.000000,135,model3,16
2015-03-07T06:00:00.000000,8,comp2,1,2015-04-21T06:00:00.000000,45,model3,16
2015-03-22T06:00:00.000000,8,comp4,1,2015-08-04T06:00:00.000000,135,model3,16
2015-04-06T06:00:00.000000,8,comp3,0,2015-06-20T06:00:00.000000,75,model3,16
2015-04-21T06:00:00.000000,8,comp2,0,2015-05-06T06:00:00.000000,15,model3,16
2015-05-06T06:00:00.000000,8,comp2,0,2015-05-21T06:00:00.000000,15,model3,16
2015-05-21T06:00:00.000000,8,comp2,0,2015-06-20T06:00:00.000000,30,model3,16
2015-06-05T06:00:00.000000,8,comp1,0,2015-07-05T06:00:00.000000,30,model3,16
2015-06-20T06:00:00.000000,8,comp2,0,2015-08-19T06:00:00.000000,60,model3,16
2015-06-20T06:00:00.000000,8,comp3,0,2015-07-20T06:00:00.000000,30,model3,16
2015-07-05T06:00:00.000000,8,comp1,0,2015-09-03T06:00:00.000000,60,model3,16
2015-07-20T06:00:00.000000,8,comp3,0,2015-11-17T06:00:00.000000,120,model3,16
2015-08-04T06:00:00.000000,8,comp4,1,2015-10-18T06:00:00.000000,75,model3,16
2015-08-19T06:00:00.000000,8,comp2,0,2015-12-17T06:00:00.000000,120,model3,16
2015-09-03T06:00:00.000000,8,comp1,0,2015-09-18T06:00:00.000000,15,model3,16
2015-09-18T06:00:00.000000,8,comp1,0,2015-10-03T06:00:00.000000,15,model3,16
2015-10-18T06:00:00.000000,8,comp4,0,2015-11-02T06:00:00.000000,15,model3,16
2015-11-17T06:00:00.000000,8,comp3,0,2015-12-02T06:00:00.000000,15,model3,16
2015-12-02T06:00:00.000000,8,comp3,0,2015-12-17T06:00:00.000000,15,model3,16
2015-12-17T06:00:00.000000,8,comp2,0,2016-01-01T06:00:00.000000,15,model3,16
2014-06-01T06:00:00.000000,9,comp1,1,2015-03-04T06:00:00.000000,276,model4,7
2014-06-01T06:00:00.000000,9,comp2,0,2015-02-17T06:00:00.000000,261,model4,7
2014-11-28T06:00:00.000000,9,comp4,0,2015-02-02T06:00:00.000000,66,model4,7
2014-12-28T06:00:00.000000,9,comp3,0,2015-03-04T06:00:00.000000,66,model4,7
2015-02-02T06:00:00.000000,9,comp4,0,2015-04-18T06:00:00.000000,75,model4,7
2015-02-17T06:00:00.000000,9,comp2,1,2015-06-17T06:00:00.000000,120,model4,7
2015-03-04T06:00:00.000000,9,comp1,0,2015-03-19T06:00:00.000000,15,model4,7
2015-03-04T06:00:00.000000,9,comp3,0,2015-06-17T06:00:00.000000,105,model4,7
2015-03-19T06:00:00.000000,9,comp1,0,2015-04-03T06:00:00.000000,15,model4,7
2015-04-03T06:00:00.000000,9,comp1,0,2015-05-03T06:00:00.000000,30,model4,7
2015-04-18T06:00:00.000000,9,comp4,0,2015-06-02T06:00:00.000000,45,model4,7
2015-05-03T06:00:00.000000,9,comp1,0,2015-05-18T06:00:00.000000,15,model4,7
2015-05-18T06:00:00.000000,9,comp1,1,2015-07-02T06:00:00.000000,45,model4,7
2015-06-02T06:00:00.000000,9,comp4,0,2015-08-16T06:00:00.000000,75,model4,7
2015-06-17T06:00:00.000000,9,comp2,1,2015-07-17T06:00:00.000000,30,model4,7
2015-06-17T06:00:00.000000,9,comp3,0,2015-07-02T06:00:00.000000,15,model4,7
2015-07-02T06:00:00.000000,9,comp1,0,2015-08-01T06:00:00.000000,30,model4,7
2015-07-17T06:00:00.000000,9,comp2,1,2015-08-31T06:00:00.000000,45,model4,7
2015-08-01T06:00:00.000000,9,comp1,1,2015-09-15T06:00:00.000000,45,model4,7
2015-08-16T06:00:00.000000,9,comp4,0,2015-08-31T06:00:00.000000,15,model4,7
2015-08-31T06:00:00.000000,9,comp2,1,2015-10-15T06:00:00.000000,45,model4,7
2015-08-31T06:00:00.000000,9,comp4,0,2015-09-15T06:00:00.000000,15,model4,7
2015-09-15T06:00:00.000000,9,comp1,1,2015-11-14T06:00:00.000000,60,model4,7
2015-09-15T06:00:00.000000,9,comp4,0,2015-09-30T06:00:00.000000,15,model4,7
2015-09-30T06:00:00.000000,9,comp4,0,2015-10-15T06:00:00.000000,15,model4,7
2015-10-15T06:00:00.000000,9,comp2,0,2015-10-30T06:00:00.000000,15,model4,7
2015-10-30T06:00:00.000000,9,comp2,0,2015-11-14T06:00:00.000000,15,model4,7
2015-11-14T06:00:00.000000,9,comp1,0,2015-12-29T06:00:00.000000,45,model4,7
2015-11-14T06:00:00.000000,9,comp2,1,2015-12-14T06:00:00.000000,30,model4,7
2015-12-14T06:00:00.000000,9,comp2,0,2015-12-29T06:00:00.000000,15,model4,7
2014-06-16T06:00:00.000000,10,comp3,0,2015-01-19T06:00:00.000000,217,model3,10
2014-08-30T06:00:00.000000,10,comp2,1,2015-01-19T06:00:00.000000,142,model3,10
2014-09-29T06:00:00.000000,10,comp4,0,2015-01-04T06:00:00.000000,97,model3,10
2014-10-14T06:00:00.000000,10,comp1,0,2015-03-05T06:00:00.000000,142,model3,10
2015-01-04T06:00:00.000000,10,comp4,0,2015-04-19T06:00:00.000000,105,model3,10
2015-01-19T06:00:00.000000,10,comp3,0,2015-06-18T06:00:00.000000,150,model3,10
2015-01-19T06:00:00.000000,10,comp2,0,2015-02-03T06:00:00.000000,15,model3,10
2015-02-03T06:00:00.000000,10,comp2,0,2015-02-18T06:00:00.000000,15,model3,10
2015-02-18T06:00:00.000000,10,comp2,0,2015-03-05T06:00:00.000000,15,model3,10
2015-03-05T06:00:00.000000,10,comp1,0,2015-03-20T06:00:00.000000,15,model3,10
2015-03-05T06:00:00.000000,10,comp2,1,2015-04-04T06:00:00.000000,30,model3,10
2015-03-20T06:00:00.000000,10,comp1,1,2015-06-03T06:00:00.000000,75,model3,10
2015-04-04T06:00:00.000000,10,comp2,1,2015-05-19T06:00:00.000000,45,model3,10
2015-04-19T06:00:00.000000,10,comp4,0,2015-05-19T06:00:00.000000,30,model3,10
2015-05-19T06:00:00.000000,10,comp2,1,2015-06-18T06:00:00.000000,30,model3,10
2015-05-19T06:00:00.000000,10,comp4,0,2015-07-18T06:00:00.000000,60,model3,10
2015-06-03T06:00:00.000000,10,comp1,0,2015-09-01T06:00:00.000000,90,model3,10
2015-06-18T06:00:00.000000,10,comp3,0,2015-09-01T06:00:00.000000,75,model3,10
2015-06-18T06:00:00.000000,10,comp2,0,2015-07-03T06:00:00.000000,15,model3,10
2015-07-03T06:00:00.000000,10,comp2,0,2015-07-18T06:00:00.000000,15,model3,10
2015-07-18T06:00:00.000000,10,comp4,0,2015-08-17T06:00:00.000000,30,model3,10
2015-07-18T06:00:00.000000,10,comp2,0,2015-08-02T06:00:00.000000,15,model3,10
2015-08-02T06:00:00.000000,10,comp2,0,2015-09-16T06:00:00.000000,45,model3,10
2015-08-17T06:00:00.000000,10,comp4,0,2015-11-15T06:00:00.000000,90,model3,10
